campus,grad_fed,grad_tx
'057802001,100,100
'057803002,99.1,99.1
'057803003,.,.
'057803004,.,.
'057803005,.,.
'057803006,.,.
'057803007,.,.
'057803008,.,.
'057803009,.,.
'057803010,.,.
'057803011,.,.
'057803012,.,.
'057803013,.,.
'057803014,.,.
'057803015,.,.
'057803016,.,.
'057803041,.,.
'057803043,.,.
'057803044,.,.
'057803045,.,.
'057803046,.,.
'057803047,.,.
'057803048,.,.
'057803049,.,.
'057803101,.,.
'057803102,.,.
'057803103,.,.
'057803104,.,.
'057803105,.,.
'057803106,.,.
'057803107,.,.
'057803108,.,.
'057803109,.,.
'057803110,.,.
'057803111,.,.
'057803112,.,.
'057803113,.,.
'057803114,.,.
'057804001,61.6,64.2
'057804002,69.2,71.5
'057804003,36.6,38.5
'057804004,45,47.2
'057804005,43.3,44.3
'057804006,72.2,74.6
'057804007,42,45.5
'057804008,31.6,33.7
'057804009,44.6,48.6
'057804010,33.3,37.1
'057804011,42.6,44.9
'057804012,.,.
'057804013,.,.
'057805101,.,.
'057806101,93.1,93.1
'057807001,100,100
'057807002,.,.
'057807041,.,.
'057807101,.,.
'057807102,.,.
'057807104,.,.
'057807105,.,.
'057808101,93.3,93.3
'057808102,-1,-1
'057809101,.,.
'057810101,.,.
'057813101,.,.
'057814001,.,.
'057814002,0,0
'057814003,.,.
'057814004,0,0
'057814005,.,.
'057816101,.,.
'057816102,.,.
'057819001,-1,-1
'057827101,.,.
'057827102,.,.
'057828001,35.2,35.2
'057828002,33,35.8
'057828003,32.4,33.8
'057828004,32.1,33.3
'057828005,33.7,35.1
'057828006,4.4,4.9
'057829001,.,.
'057829002,.,.
'057830001,.,.
'057830002,.,.
'057831001,.,.
'057831002,100,100
'057833001,.,.
'057833002,.,.
'057833003,.,.
'057834001,32.9,35.4
'057834003,52.8,56
'057834004,20.7,22.6
'057835001,.,.
'057835101,.,.
'057835102,.,.
'057835103,.,.
'057835104,.,.
'057835105,.,.
'057836041,.,.
'057836101,.,.
'057837041,.,.
'057837042,.,.
'057837043,.,.
'057837101,.,.
'057837102,.,.
'057837103,.,.
'057839101,.,.
'057840001,99.6,99.6
'057841001,.,.
'057844001,.,.
'057844101,.,.
'057844102,.,.
'057845001,.,.
'057845002,.,.
'057846001,.,.
'057846003,.,.
'057847001,.,.
'057848001,.,.
'057848002,.,.
'057848003,.,.
'057848004,.,.
'057848005,.,.
'057848006,.,.
'057848007,.,.
'057848008,.,.
'057848009,.,.
'057848010,.,.
'057848011,.,.
'057848012,.,.
'057848013,.,.
'057848014,.,.
'057848015,.,.
'057848016,.,.
'057848017,.,.
'057848018,.,.
'057848019,.,.
'057848020,.,.
'057848021,.,.
'057848022,.,.
'057848023,.,.
'057848024,.,.
'057848025,.,.
'057848026,.,.
'057849001,.,.
'057849002,.,.
'057850001,.,.
'057850002,.,.
'057903001,96.6,96.8
'057903002,97.7,98.4
'057903003,43.7,42.6
'057903005,.,.
'057903006,97,97.4
'057903007,95.6,96.9
'057903008,.,.
'057903009,.,.
'057903010,100,100
'057903041,.,.
'057903042,.,.
'057903044,.,.
'057903045,.,.
'057903046,.,.
'057903047,.,.
'057903102,.,.
'057903103,.,.
'057903105,.,.
'057903106,.,.
'057903109,.,.
'057903110,.,.
'057903111,.,.
'057903112,.,.
'057903113,.,.
'057903114,.,.
'057903116,.,.
'057903117,.,.
'057903118,.,.
'057903120,.,.
'057903121,.,.
'057903122,.,.
'057903123,.,.
'057903124,.,.
'057903125,.,.
'057903126,.,.
'057903128,.,.
'057903129,.,.
'057903131,.,.
'057903132,.,.
'057903135,.,.
'057904001,90.6,91.5
'057904002,.,.
'057904003,99,99
'057904041,.,.
'057904042,.,.
'057904043,.,.
'057904101,.,.
'057904102,.,.
'057904104,.,.
'057904105,.,.
'057904107,.,.
'057904108,.,.
'057904110,.,.
'057905001,96.5,97.3
'057905002,87.6,87.9
'057905003,100,100
'057905005,92.5,92.5
'057905006,87.6,87.5
'057905007,71.1,72.6
'057905008,91,91
'057905009,85.8,86.7
'057905011,.,.
'057905012,85.9,85.6
'057905013,76,77.6
'057905014,87.7,88.3
'057905015,87.4,88.5
'057905016,78.2,79.3
'057905017,77,78.2
'057905018,87.5,87.9
'057905021,85.1,85.3
'057905022,94,93.9
'057905023,91.3,92.7
'057905024,81.7,82.5
'057905025,87.4,87.8
'057905026,100,100
'057905028,74.8,76
'057905029,-1,-1
'057905030,-1,-1
'057905032,87.9,87.9
'057905033,100,100
'057905034,99.1,99.1
'057905035,100,100
'057905036,100,100
'057905037,100,100
