campus,teachers,pct_begin,pct_1to5,pct_6to10,pct_11to20,pct_over20,avg_yrs_exp,avg_yrs_dist,stud_per_tchr,tchr_sal,admin_sal
'057802001,42,14.3,40.5,20.9,14.3,10,7.5,2.1,15.6,54340,97755
'057803002,35,2.4,49.7,9.2,30.1,8.6,8.2,5.8,15.3,61292,80609
'057803003,37.5,36.8,60.6,2.7,0,0,1.2,1.1,14.4,50265,72278
'057803004,40.7,22.1,74.2,1.2,2.5,0,1.8,1.7,12.5,51110,77092
'057803005,40.1,32.4,67.6,0,0,0,1.5,1.5,11.7,51045,63181
'057803006,35.3,39.3,60.7,0,0,0,1.1,1.1,13.8,49420,64773
'057803007,29.7,26.6,61,3.4,5.7,3.4,2.8,1.8,11.1,50021,65504
'057803008,31.5,40.3,50.1,6.4,0,3.2,2.5,1.5,16.4,49845,67478
'057803009,34.3,26,64.3,9.7,0,0,2.4,2.4,13.9,55127,62582
'057803010,34.3,20.2,62.3,14.6,2.9,0,3.2,2.8,12.8,53423,68242
'057803011,26,36.9,60.7,2.4,0,0,1.3,1.3,13.3,47850,66982
'057803012,30.8,28.3,68.5,3.2,0,0,1.4,1.3,16,45412,70000
'057803013,20.6,47.8,52.2,0,0,0,1,1,16.7,52026,63572
'057803014,23.1,47.5,52.5,0,0,0,1.2,1.2,14,48371,64403
'057803015,15.4,74.9,25.1,0,0,0,0.5,0.5,17,47485,72345
'057803016,4,28.6,62.1,9.3,0,0,1.8,1.8,37.3,51419,
'057803041,28.9,6.9,68,6.1,12.1,6.9,6.4,4.8,16.4,58921,76638
'057803043,23.7,30.3,69.7,0,0,0,1.4,1.4,14,51583,71871
'057803044,32.4,45.6,46.3,5,3.1,0,2,1.8,13.6,50485,73444
'057803045,28.7,16.2,82.9,0.9,0,0,2.2,2.2,13.9,50530,68247
'057803046,32,25.1,74.9,0,0,0,1.6,1.6,15.4,48776,67994
'057803047,27.9,14.3,82.1,3.6,0,0,2.1,2.1,17.1,51061,76688
'057803048,29,23,73.5,3.5,0,0,2.1,2.1,14.7,50000,69365
'057803049,30.4,49,51,0,0,0,0.8,0.8,15.9,48558,66307
'057803101,33,6.1,81.8,9.1,0,3,3.6,3.1,16.9,55311,82485
'057803102,27.4,39.4,57,0,3.7,0,1.6,1.4,17.8,50357,68667
'057803103,26.9,42.8,49.7,3.7,3.7,0,1.8,1.6,18.1,51835,76112
'057803104,54.1,43.4,52.9,3.7,0,0,1.4,1.4,18.3,47970,72443
'057803105,34.5,27.5,72.5,0,0,0,1.6,1.6,16.9,49882,70084
'057803106,34,47.1,52.9,0,0,0,1.1,1.1,15.9,48007,66650
'057803107,27.4,42.7,54.6,2.7,0,0,1.6,1.6,17.4,47868,75253
'057803108,37.7,54.8,45.2,0,0,0,0.9,0.9,17.2,48615,69727
'057803109,36,16.7,80.6,2.8,0,0,2.4,2.4,16.9,52399,72386
'057803110,33.8,20.1,56.2,23.7,0,0,3.6,3.5,17.8,53472,73188
'057803111,31.7,40.4,59.6,0,0,0,1.3,1.3,18.3,50722,73338
'057803112,35.3,33.8,59.4,4.9,0,2,2.5,1.7,16.2,49395,77528
'057803113,,,,,,,,,,,
'057803114,14.7,50.1,43.1,6.8,0,0,1.7,1.5,21.4,48697,78641
'057804001,22.3,13.3,42.3,26.6,17.7,0,5.7,3.4,22.6,53315,68707
'057804002,29.7,13.4,66.5,13.4,6.7,0,3.7,2.6,23.3,50023,84663
'057804003,20.9,33.1,29.1,18.9,18.9,0,4.1,1.6,21.2,54571,80722
'057804004,24.7,16,16,28,40,0,8.5,6.6,23,51157,85714
'057804005,15.7,0,44,18.2,37.7,0,6.8,2.3,23.5,52466,71342
'057804006,25.7,26.9,46.2,26.9,0,0,3.3,3,18.9,51854,75667
'057804007,17.8,16.6,33.4,16.7,33.3,0,6.6,4.8,22.6,54818,80500
'057804008,21.8,27.3,45.4,18.2,9.1,0,3.6,2,20.6,49223,79000
'057804009,20.9,9.5,66.6,19,4.8,0,4.4,3.2,21.3,49850,71167
'057804010,19,36.5,20.8,22.5,20.2,0,4.7,2,21.7,52611,70354
'057804011,16.9,23.5,35.3,11.8,23.6,5.9,6,3.4,23.9,52565,71817
'057804012,16.8,5.9,35.3,23.5,35.3,0,6.7,1.5,22.5,53965,80500
'057804013,13.9,35.7,21.4,28.6,14.3,0,4.6,2.9,19.1,48922,82500
'057805101,13,0,30.8,15.4,46.2,7.7,12.5,6.6,24.1,44902,64640
'057806101,95.1,10.6,44.3,15.5,26.6,3.1,6.8,1.1,17.5,49382,71700
